GEOID,NAME,crashes_per_1K_16_19,crashes_per_1K_20_23,pct_chg_16_19_to_20_23
42101001500,Census Tract 15,1.3315124615909868,0.584435558289757,-56.10739101972568
42101001800,Census Tract 18,1.069682151589242,0.6666666666666667,-37.67619047619048
42101002802,Census Tract 28.02,0.5184929139301764,0.24475524475524477,-52.7948717948718
42101004001,Census Tract 40.01,1.3135068153655514,1.0424422933730455,-20.636704646033234
42101006300,Census Tract 63,2.526997840172786,2.1517553793884483,-14.849338405397305
42101007700,Census Tract 77,1.4851485148514851,0.8815426997245178,-40.64279155188246
42101008701,Census Tract 87.01,0.9412304866850322,0.7705986959098993,-18.128587332109248
42101011000,Census Tract 110,3.8837448559670777,3.5910589959692194,-7.536176315706444
42101011500,Census Tract 115,0.3201024327784891,0.2663388649866831,-16.7957385781602
42101014000,Census Tract 140,1.6398330351818722,0.9038762384842691,-44.87998356588656
42101016500,Census Tract 165,2.270416807861742,1.8596491228070178,-18.092170725320756
42101017202,Census Tract 172.02,1.4138817480719794,1.0419026047565119,-26.309070318130345
42101019502,Census Tract 195.02,1.7001983564749221,1.1535503716995643,-32.152012304537294
42101021400,Census Tract 214,0.4872953477669567,0.5113636363636364,4.939158296292634
42101024200,Census Tract 242,1.042906470178593,1.001088139281828,-4.009787271681597
42101025500,Census Tract 255,1.673789173789174,1.1752136752136753,-29.78723404255319
42101027402,Census Tract 274.02,1.0225563909774436,0.6661941885187811,-34.850127152207435
42101028600,Census Tract 286,1.5187822489442775,1.0458452722063039,-31.139222035727464
42101030501,Census Tract 305.01,0.34347399411187435,0.303275374039628,-11.70354110103401
42101033500,Census Tract 335,1.4261542180323905,0.9075300466028943,-36.36522368142078
42101034000,Census Tract 340,0.9152542372881356,0.6279434850863422,-31.391359962788535
42101034900,Census Tract 349,2.5260845689181766,1.9822156354205263,-21.53011582389611
42101035900,Census Tract 359,2.1404431092752536,1.9991922455573505,-6.599141229487293
42101000200,Census Tract 2,7.007081625046589,3.327596098680436,-52.51095567681059
42101021900,Census Tract 219,0.6906934684130968,0.5405405405405406,-21.73944517204428
42101010500,Census Tract 105,1.9357677078750553,1.5055281110326981,-22.22578644596994
42101025800,Census Tract 258,0.9876543209876543,0.7588075880758808,-23.17073170731707
42101016002,Census Tract 160.02,0.708999551270423,0.4541326067211626,-35.947405621424764
42101016001,Census Tract 160.01,0.8254853567461038,0.7350096711798839,-10.96030169727743
42101000403,Census Tract 4.03,8.053655017177364,3.4383954154727796,-57.306398049840176
42101980904,Census Tract 9809.04,251.09126455167515,Inf,NA
42101000600,Census Tract 6,7.456503728251865,3.2552083333333335,-56.34403935185186
42101001900,Census Tract 19,1.3309671694764862,1.043096349162778,-21.62869429956994
42101002701,Census Tract 27.01,0.40779338468509285,0.26171159382360637,-35.822501381255634
42101003200,Census Tract 32,0.984251968503937,0.23832221163012393,-75.78646329837942
42101003902,Census Tract 39.02,0.8386298611100235,0.4797933198007013,-42.78842883490466
42101004002,Census Tract 40.02,0.9731876861966237,0.9673748103186646,-0.5973026539902837
42101037200,Census Tract 372,2.6106194690265485,2.169474221541603,-16.898106090101304
42101006400,Census Tract 64,2.6612077789150463,1.2719949120203518,-52.202345036773714
42101008000,Census Tract 80,1.756919374247894,1.5257305404706492,-13.158761703348654
42101017601,Census Tract 176.01,1.3076643661460225,0.9938382031405287,-23.99898407650346
42101009100,Census Tract 91,2.0490426603963723,1.1816340310600946,-42.33238507432948
42101010000,Census Tract 100,1.0118043844856661,0.5088578967206936,-49.70787787410479
42101014400,Census Tract 144,0.9825595676737903,0.6359895248784138,-35.272166105499444
42101015101,Census Tract 151.01,0.7434944237918215,0.41647385469689957,-43.984266543267005
42101016300,Census Tract 163,2.9997272975184073,2.982791586998088,-0.5645750043455466
42101017000,Census Tract 170,4.605475040257649,3.55718085106383,-22.761912289837817
42101018002,Census Tract 180.02,0.5964214711729622,0.39026203307935325,-34.566065787028435
42101019000,Census Tract 190,1.6301703163017032,1.3585198602665287,-16.663930959769658
42101019800,Census Tract 198,1.5163002274450341,0.8828996282527881,-41.77276951672862
42101020400,Census Tract 204,7.097032878909383,3.1650339110776184,-55.40342048458995
42101021500,Census Tract 215,0.4150453955901427,0.3504380475594493,-15.566332916145187
42101038500,Census Tract 385,0.5257623554153523,0.48833423765599565,-7.118827997829635
42101026301,Census Tract 263.01,0.7306626354245402,0.6488644871474919,-11.195063810744998
42101025700,Census Tract 257,0.3803245436105477,0.34787262510034783,-8.532691106948542
42101026400,Census Tract 264,0.6882811084948379,0.4758547761720127,-30.863310019850477
42101027300,Census Tract 273,1.3829279923700524,1.0890912337082663,-21.24743734185398
42101027901,Census Tract 279.01,0.6993006993006993,1.0442260442260443,49.324324324324344
42101028700,Census Tract 287,4.489914222461429,2.126126126126126,-52.646620385532515
42101029800,Census Tract 298,1.5667841754798277,1.1134176259671635,-28.936120022645795
42101030900,Census Tract 309,1.3741833746339265,0.5830903790087464,-57.568226353773355
42101031101,Census Tract 311.01,0.9540329575021683,0.5273566249176005,-44.72343740636424
42101031700,Census Tract 317,2.524271844660194,1.4077590440333934,-44.23108402483095
42101032300,Census Tract 323,2.650387135199524,1.9079345850999394,-28.012984980161846
42101033400,Census Tract 334,2.003577817531306,1.557632398753894,-22.257454383622623
42101035302,Census Tract 353.02,0.599078341013825,0.3410786612662545,-43.06610038863291
42101008302,Census Tract 83.02,2.125832080738673,2.023121387283237,-4.831552519413784
42101037300,Census Tract 373,2.5700517579867928,1.8826824334837404,-26.745349480490287
